param nLayers := 11;
param weight :=
 1 source 7668 0
 1 source 7669 0
 1 source 7670 0
 1 source 7671 0
 1 source 7672 0
 1 source 7673 0
 1 source 7674 0
 1 source 7675 0
 1 source 7676 0
 1 source 7677 0
 1 source 7678 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 7668 3521 1
 1 7668 3523 0
 1 3521 8977 1
 1 3521 8978 0
 1 3522 8977 1
 1 3522 8979 0
 1 3523 8978 1
 1 3523 8980 0
 1 3524 8979 1
 1 3524 8981 0
 1 3525 8980 1
 1 3525 8982 0
 1 3526 8981 1
 1 3526 8983 0
 1 3527 8982 1
 1 3527 8984 0
 1 3528 8983 1
 1 3528 8985 0
 1 3529 8984 1
 1 3529 8986 0
 1 3530 8985 1
 1 3530 8987 0
 1 3531 destination 0
 1 8977 8614 1
 1 8977 8615 0
 1 8978 8614 1
 1 8978 8616 0
 1 8979 8615 1
 1 8979 8617 0
 1 8980 8616 1
 1 8980 8618 0
 1 8981 8617 1
 1 8981 8619 0
 1 8982 8618 1
 1 8982 8620 0
 1 8983 8619 1
 1 8983 8621 0
 1 8984 8620 1
 1 8984 8622 0
 1 8985 8621 1
 1 8985 8623 0
 1 8986 8622 1
 1 8986 8624 0
 1 8987 destination 0
 1 8614 2047 1
 1 8614 2048 0
 1 8615 2047 1
 1 8615 2049 0
 1 8616 2048 1
 1 8616 2050 0
 1 8617 2049 1
 1 8617 2051 0
 1 8618 2050 1
 1 8618 2052 0
 1 8619 2051 1
 1 8619 2053 0
 1 8620 2052 1
 1 8620 2054 0
 1 8621 2053 1
 1 8621 2055 0
 1 8622 2054 1
 1 8622 2056 0
 1 8623 2055 1
 1 8623 2057 0
 1 8624 destination 0
 1 2047 3598 1
 1 2047 3599 0
 1 2048 3598 1
 1 2048 3600 0
 1 2049 3599 1
 1 2049 3601 0
 1 2050 3600 1
 1 2050 3602 0
 1 2051 3601 1
 1 2051 3603 0
 1 2052 3602 1
 1 2052 3604 0
 1 2053 3603 1
 1 2053 3605 0
 1 2054 3604 1
 1 2054 3606 0
 1 2055 3605 1
 1 2055 3607 0
 1 2056 3606 1
 1 2056 3608 0
 1 2057 destination 0
 1 3598 7030 1
 1 3598 7031 0
 1 3599 7030 1
 1 3599 7032 0
 1 3600 7031 1
 1 3600 7033 0
 1 3601 7032 1
 1 3601 7034 0
 1 3602 7033 1
 1 3602 7035 0
 1 3603 7034 1
 1 3603 7036 0
 1 3604 7035 1
 1 3604 7037 0
 1 3605 7036 1
 1 3605 7038 0
 1 3606 7037 1
 1 3606 7039 0
 1 3607 7038 1
 1 3607 7040 0
 1 3608 destination 0
 1 7030 1277 1
 1 7030 1278 0
 1 7031 1277 1
 1 7031 1279 0
 1 7032 1278 1
 1 7032 1280 0
 1 7033 1279 1
 1 7033 1281 0
 1 7034 1280 1
 1 7034 1282 0
 1 7035 1281 1
 1 7035 1283 0
 1 7036 1282 1
 1 7036 1284 0
 1 7037 1283 1
 1 7037 1285 0
 1 7038 1284 1
 1 7038 1286 0
 1 7039 1285 1
 1 7039 1287 0
 1 7040 destination 0
 1 1277 8295 1
 1 1277 8296 0
 1 1278 8295 1
 1 1278 8297 0
 1 1279 8296 1
 1 1279 8298 0
