param soc_lower_bound := 0.8;
param nLayers := 25;
param weight :=
 1 source 18776 0
 1 source 18777 0
 1 source 18778 0
 1 source 18779 0
 1 source 18780 0
 1 source 18781 0
 1 source 18782 0
 1 source 18783 0
 1 source 18784 0
 1 source 18785 0
 1 source 18786 0
 1 source 18787 0
 1 source 18788 0
 1 source 18789 0
 1 source 18790 0
 1 source 18791 0
 1 source 18792 0
 1 source 18793 0
 1 source 18794 0
 1 source 18795 0
 1 source 18796 0
 1 source 18797 0
 1 source 18798 0
 1 source 18799 0
 1 source 18800 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 13 destination 0 
 1 14 destination 0 
 1 15 destination 0 
 1 16 destination 0 
 1 17 destination 0 
 1 18 destination 0 
 1 19 destination 0 
 1 20 destination 0 
 1 21 destination 0 
 1 22 destination 0 
 1 23 destination 0 
 1 24 destination 0 
 1 25 destination 0 
 1 18776 17301 1
 1 18776 17310 0
 1 17301 6326 1
 1 17301 6330 0
 1 17302 6326 1
 1 17302 6331 0
 1 17303 6326 1
 1 17303 6332 0
 1 17304 6327 1
 1 17304 6333 0
 1 17305 6328 1
 1 17305 6334 0
 1 17306 6329 1
 1 17306 6335 0
 1 17307 6330 1
 1 17307 6336 0
 1 17308 6331 1
 1 17308 6337 0
 1 17309 6332 1
 1 17309 6338 0
 1 17310 6333 1
 1 17310 6339 0
 1 17311 6334 1
 1 17311 6340 0
 1 17312 6335 1
 1 17312 6341 0
 1 17313 6336 1
 1 17313 6342 0
 1 17314 6337 1
 1 17314 6343 0
 1 17315 6338 1
 1 17315 6344 0
 1 17316 6339 1
 1 17316 6345 0
 1 17317 6340 1
 1 17317 6346 0
 1 17318 6341 1
 1 17318 6347 0
 1 17319 6342 1
 1 17319 6348 0
 1 17320 6343 1
 1 17320 6349 0
 1 17321 6344 1
