param soc_lower_bound := 0.8;
param nLayers := 23;
param weight :=
 1 source 3865 0
 1 source 3866 0
 1 source 3867 0
 1 source 3868 0
 1 source 3869 0
 1 source 3870 0
 1 source 3871 0
 1 source 3872 0
 1 source 3873 0
 1 source 3874 0
 1 source 3875 0
 1 source 3876 0
 1 source 3877 0
 1 source 3878 0
 1 source 3879 0
 1 source 3880 0
 1 source 3881 0
 1 source 3882 0
 1 source 3883 0
 1 source 3884 0
 1 source 3885 0
 1 source 3886 0
 1 source 3887 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 13 destination 0 
 1 14 destination 0 
 1 15 destination 0 
 1 16 destination 0 
 1 17 destination 0 
 1 18 destination 0 
 1 19 destination 0 
 1 20 destination 0 
 1 21 destination 0 
 1 22 destination 0 
 1 23 destination 0 
 1 3865 5107 1
 1 3865 5112 0
 1 5107 5038 1
 1 5107 5045 0
 1 5108 5038 1
 1 5108 5046 0
 1 5109 5038 1
 1 5109 5047 0
 1 5110 5038 1
 1 5110 5048 0
 1 5111 5038 1
 1 5111 5049 0
 1 5112 5038 1
 1 5112 5050 0
 1 5113 5038 1
 1 5113 5051 0
 1 5114 5038 1
 1 5114 5052 0
 1 5115 5038 1
 1 5115 5053 0
 1 5116 5038 1
 1 5116 5054 0
 1 5117 5038 1
 1 5117 5055 0
 1 5118 5038 1
 1 5118 5056 0
 1 5119 5038 1
 1 5119 5057 0
 1 5120 5038 1
 1 5120 5058 0
 1 5121 5038 1
 1 5121 5059 0
 1 5122 5038 1
 1 5122 5060 0
 1 5123 5038 1
 1 5123 5060 0
 1 5124 5038 1
 1 5124 5060 0
 1 5125 5038 1
 1 5125 5060 0
 1 5126 5038 1
 1 5126 5060 0
 1 5127 5038 1
 1 5127 5060 0
 1 5128 5038 1
 1 5128 5060 0
 1 5129 destination 0
 1 5038 16952 1
 1 5038 16959 0
 1 5039 16952 1
 1 5039 16960 0
 1 5040 16952 1
 1 5040 16961 0
 1 5041 16952 1
 1 5041 16962 0
 1 5042 16952 1
 1 5042 16963 0
 1 5043 16952 1
 1 5043 16964 0
 1 5044 16952 1
 1 5044 16965 0
 1 5045 16952 1
 1 5045 16966 0
 1 5046 16952 1
 1 5046 16967 0
 1 5047 16952 1
 1 5047 16968 0
 1 5048 16952 1
 1 5048 16969 0
 1 5049 16952 1
 1 5049 16970 0
 1 5050 16952 1
 1 5050 16971 0
 1 5051 16952 1
 1 5051 16972 0
 1 5052 16952 1
 1 5052 16973 0
 1 5053 16952 1
 1 5053 16974 0
 1 5054 16952 1
 1 5054 16974 0
 1 5055 16952 1
 1 5055 16974 0
 1 5056 16952 1
 1 5056 16974 0
 1 5057 16952 1
 1 5057 16974 0
 1 5058 16952 1
 1 5058 16974 0
 1 5059 16952 1
 1 5059 16974 0
 1 5060 destination 0
 1 16952 2140 1
 1 16952 2144 0
 1 16953 2140 1
 1 16953 2145 0
 1 16954 2140 1
 1 16954 2146 0
 1 16955 2140 1
 1 16955 2147 0
 1 16956 2140 1
 1 16956 2148 0
 1 16957 2140 1
 1 16957 2149 0
 1 16958 2140 1
 1 16958 2150 0
 1 16959 2140 1
 1 16959 2151 0
 1 16960 2140 1
 1 16960 2152 0
 1 16961 2140 1
 1 16961 2153 0
 1 16962 2140 1
 1 16962 2154 0
 1 16963 2140 1
 1 16963 2155 0
 1 16964 2140 1
 1 16964 2156 0
 1 16965 2140 1
 1 16965 2157 0
 1 16966 2140 1
 1 16966 2158 0
 1 16967 2140 1
 1 16967 2159 0
 1 16968 2140 1
 1 16968 2160 0
 1 16969 2140 1
 1 16969 2161 0
 1 16970 2140 1
 1 16970 2162 0
 1 16971 2140 1
 1 16971 2162 0
 1 16972 2140 1
 1 16972 2162 0
 1 16973 2140 1
 1 16973 2162 0
 1 16974 destination 0
 1 2140 7637 1
 1 2140 7640 0
 1 2141 7637 1
 1 2141 7641 0
 1 2142 7637 1
 1 2142 7642 0
 1 2143 7637 1
 1 2143 7643 0
 1 2144 7637 1
 1 2144 7644 0
 1 2145 7637 1
 1 2145 7645 0
 1 2146 7637 1
 1 2146 7646 0
 1 2147 7637 1
 1 2147 7647 0
 1 2148 7637 1
 1 2148 7648 0
 1 2149 7637 1
 1 2149 7649 0
 1 2150 7637 1
 1 2150 7650 0
 1 2151 7637 1
 1 2151 7651 0
 1 2152 7637 1
 1 2152 7652 0
 1 2153 7637 1
 1 2153 7653 0
 1 2154 7637 1
 1 2154 7654 0
 1 2155 7638 1
 1 2155 7655 0
 1 2156 7639 1
 1 2156 7656 0
 1 2157 7640 1
 1 2157 7657 0
 1 2158 7641 1
 1 2158 7658 0
 1 2159 7642 1
 1 2159 7659 0
 1 2160 7643 1
 1 2160 7659 0
 1 2161 7644 1
 1 2161 7659 0
 1 2162 destination 0
 1 7637 2669 1
 1 7637 2678 0
 1 7638 2669 1
 1 7638 2679 0
 1 7639 2669 1
 1 7639 2680 0
 1 7640 2669 1
 1 7640 2681 0
 1 7641 2669 1
 1 7641 2682 0
 1 7642 2669 1
 1 7642 2683 0
 1 7643 2669 1
 1 7643 2684 0
 1 7644 2669 1
 1 7644 2685 0
 1 7645 2669 1
 1 7645 2686 0
 1 7646 2669 1
 1 7646 2687 0
 1 7647 2669 1
 1 7647 2688 0
 1 7648 2669 1
 1 7648 2689 0
 1 7649 2669 1
 1 7649 2690 0
 1 7650 2669 1
 1 7650 2691 0
 1 7651 2669 1
 1 7651 2691 0
 1 7652 2669 1
 1 7652 2691 0
 1 7653 2669 1
 1 7653 2691 0
 1 7654 2669 1
 1 7654 2691 0
 1 7655 2669 1
 1 7655 2691 0
 1 7656 2669 1
 1 7656 2691 0
 1 7657 2669 1
 1 7657 2691 0
 1 7658 2669 1
 1 7658 2691 0
