param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 1513 0
 1 source 1514 0
 1 source 1515 0
 1 source 1516 0
 1 source 1517 0
 1 source 1518 0
 1 source 1519 0
 1 source 1520 0
 1 source 1521 0
 1 source 1522 0
 1 source 1523 0
 1 source 1524 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 1513 1837 1
 1 1513 1839 0
 1 1837 6913 1
 1 1837 6915 0
 1 1838 6913 1
 1 1838 6916 0
 1 1839 6913 1
 1 1839 6917 0
 1 1840 6913 1
 1 1840 6918 0
 1 1841 6913 1
 1 1841 6919 0
 1 1842 6913 1
 1 1842 6920 0
 1 1843 6913 1
 1 1843 6921 0
 1 1844 6913 1
 1 1844 6922 0
 1 1845 6914 1
 1 1845 6923 0
 1 1846 6915 1
 1 1846 6924 0
 1 1847 6916 1
 1 1847 6924 0
 1 1848 destination 0
 1 6913 8413 1
 1 6913 8414 0
 1 6914 8413 1
 1 6914 8415 0
 1 6915 8413 1
 1 6915 8416 0
 1 6916 8413 1
 1 6916 8417 0
 1 6917 8413 1
 1 6917 8418 0
 1 6918 8413 1
 1 6918 8419 0
 1 6919 8413 1
 1 6919 8420 0
 1 6920 8413 1
 1 6920 8421 0
 1 6921 8414 1
 1 6921 8422 0
 1 6922 8415 1
 1 6922 8423 0
 1 6923 8416 1
 1 6923 8424 0
 1 6924 destination 0
 1 8413 5101 1
 1 8413 5101 0
 1 8414 5101 1
 1 8414 5102 0
 1 8415 5101 1
 1 8415 5103 0
 1 8416 5102 1
 1 8416 5104 0
 1 8417 5103 1
 1 8417 5105 0
 1 8418 5104 1
 1 8418 5106 0
 1 8419 5105 1
 1 8419 5107 0
 1 8420 5106 1
 1 8420 5108 0
 1 8421 5107 1
 1 8421 5109 0
 1 8422 5108 1
 1 8422 5110 0
 1 8423 5109 1
 1 8423 5111 0
 1 8424 destination 0
 1 5101 6793 1
 1 5101 6793 0
 1 5102 6793 1
 1 5102 6794 0
 1 5103 6793 1
 1 5103 6795 0
 1 5104 6794 1
 1 5104 6796 0
 1 5105 6795 1
 1 5105 6797 0
 1 5106 6796 1
 1 5106 6798 0
 1 5107 6797 1
 1 5107 6799 0
 1 5108 6798 1
 1 5108 6800 0
 1 5109 6799 1
 1 5109 6801 0
 1 5110 6800 1
 1 5110 6802 0
 1 5111 6801 1
 1 5111 6803 0
 1 5112 destination 0
 1 6793 8425 1
 1 6793 8427 0
 1 6794 8425 1
 1 6794 8428 0
 1 6795 8425 1
 1 6795 8429 0
 1 6796 8425 1
 1 6796 8430 0
 1 6797 8425 1
 1 6797 8431 0
 1 6798 8425 1
 1 6798 8432 0
 1 6799 8425 1
 1 6799 8433 0
 1 6800 8425 1
 1 6800 8434 0
 1 6801 8425 1
 1 6801 8435 0
 1 6802 8425 1
 1 6802 8436 0
 1 6803 8426 1
 1 6803 8436 0
 1 6804 destination 0
 1 8425 8341 1
 1 8425 8341 0
 1 8426 8341 1
 1 8426 8342 0
 1 8427 8341 1
 1 8427 8343 0
 1 8428 8342 1
 1 8428 8344 0
 1 8429 8343 1
 1 8429 8345 0
 1 8430 8344 1
 1 8430 8346 0
 1 8431 8345 1
 1 8431 8347 0
 1 8432 8346 1
 1 8432 8348 0
 1 8433 8347 1
 1 8433 8349 0
